"","Reporter.Country.Code","Partner.Country.Code"
"631",166,236
"632",169,9
"633",169,19
"634",169,21
"635",169,33
"636",169,40
"637",169,44
"638",169,58
"639",169,170
"640",169,231
"641",169,234
"642",169,236
"643",170,9
"644",170,19
"645",170,21
"646",170,33
"647",170,40
"648",170,44
"649",170,58
"650",170,91
"651",170,169
"652",170,231
"653",170,234
"654",170,236
"655",171,9
"656",171,21
"657",171,33
"658",171,40
"659",171,44
"660",171,58
"661",171,169
"662",171,170
"663",171,231
"664",171,234
"665",171,236
"666",173,9
"667",173,21
"668",173,33
"669",173,40
"670",173,44
"671",173,58
"672",173,169
"673",173,170
"674",173,231
"675",173,234
"676",173,236
"677",174,9
"678",174,19
"679",174,21
"680",174,33
"681",174,40
"682",174,44
"683",174,58
"684",174,169
"685",174,170
"686",174,231
"687",174,234
"688",174,236
"689",179,21
"690",179,231
"691",179,234
"692",117,9
"693",117,19
"694",117,21
"695",117,33
"696",117,40
"697",117,44
"698",117,58
"699",117,169
"700",117,170
"701",117,231
"702",117,234
"703",117,236
"704",146,33
"705",146,231
"706",183,9
"707",183,33
"708",183,40
"709",183,44
"710",183,58
"711",183,170
"712",183,231
"713",183,234
"714",185,21
"715",185,33
"716",185,40
"717",185,170
"718",185,231
"719",185,234
"720",185,236
"721",184,231
"722",188,33
"723",188,91
"724",188,231
"725",189,33
"726",189,91
"727",189,231
"728",191,33
"729",191,91
"730",191,231
"731",194,9
"732",194,21
"733",194,33
"734",194,44
"735",194,169
"736",194,231
"737",195,21
"738",195,33
"739",195,44
"740",195,231
"741",272,9
"742",272,21
"743",272,33
"744",272,40
"745",272,231
"746",196,9
"747",196,21
"748",196,33
"749",196,169
"750",196,231
"751",200,9
"752",200,21
"753",200,33
"754",200,40
"755",200,44
"756",200,58
"757",200,91
"758",200,170
"759",200,231
"760",200,234
"761",200,236
"762",199,21
"763",199,33
"764",199,231
"765",198,21
"766",198,33
"767",198,40
"768",198,44
"769",198,231
"770",25,231
"771",202,9
"772",202,19
"773",202,21
"774",202,33
"775",202,40
"776",202,44
"777",202,58
"778",202,91
"779",202,169
"780",202,170
"781",202,231
"782",202,234
"783",202,236
"784",203,9
"785",203,19
"786",203,21
"787",203,33
"788",203,40
"789",203,44
"790",203,58
"791",203,91
"792",203,169
"793",203,170
"794",203,231
"795",203,234
"796",203,236
"797",206,33
"798",210,9
"799",210,19
"800",210,21
"801",210,33
"802",210,40
"803",210,44
"804",210,58
"805",210,91
"806",210,169
"807",210,170
"808",210,231
"809",210,234
"810",210,236
"811",211,9
"812",211,19
"813",211,21
"814",211,33
"815",211,40
"816",211,44
"817",211,58
"818",211,91
"819",211,169
"820",211,170
"821",211,231
"822",211,234
"823",211,236
"824",212,9
"825",212,19
"826",212,21
"827",212,33
"828",212,40
"829",212,44
"830",212,58
"831",212,169
"832",212,170
"833",212,231
"834",212,236
"835",216,9
"836",216,19
"837",216,21
"838",216,33
"839",216,40
"840",216,44
"841",216,58
"842",216,91
"843",216,169
"844",216,170
"845",216,231
"846",216,234
"847",216,236
"848",154,9
"849",154,33
"850",154,40
"851",154,231
"852",219,231
"853",220,9
"854",220,21
"855",220,33
"856",220,40
"857",220,44
"858",220,91
"859",220,231
"860",220,236
"861",223,9
"862",223,19
"863",223,21
"864",223,33
"865",223,40
"866",223,44
"867",223,58
"868",223,91
"869",223,169
"870",223,170
"871",223,231
"872",223,234
"873",223,236
"874",226,33
"875",226,40
"876",226,58
"877",226,231
"878",230,9
"879",230,21
"880",230,33
"881",230,40
"882",230,44
"883",230,58
"884",230,170
"885",230,231
"886",229,9
"887",229,19
"888",229,21
"889",229,33
"890",229,40
"891",229,44
"892",229,58
"893",229,91
"894",229,169
"895",229,170
"896",229,231
"897",229,234
"898",229,236
"899",215,9
"900",215,21
"901",215,33
"902",215,44
"903",215,231
"904",231,9
"905",231,19
"906",231,21
"907",231,33
"908",231,40
"909",231,44
"910",231,58
"911",231,91
"912",231,169
"913",231,170
"914",231,234
"915",231,236
"916",234,9
"917",234,19
"918",234,21
"919",234,33
"920",234,40
"921",234,44
"922",234,58
"923",234,169
"924",234,170
"925",234,231
"926",234,236
"927",155,33
"928",155,231
"929",236,9
"930",236,19
"931",236,21
"932",236,33
"933",236,40
"934",236,44
"935",236,58
"936",236,91
"937",236,170
"938",236,231
"939",236,234
"940",249,21
"941",249,231
"942",251,33
"943",251,231
"944",181,9
"945",181,33
"946",181,40
"947",181,44
"948",181,231
