"","Reporter.Countries","Partner.Countries"
"335","Austria","Iran (Islamic Republic of)"
"336","Austria","Iraq"
"337","Austria","Ireland"
"338","Austria","Israel"
"339","Austria","Italy"
"340","Austria","Japan"
"341","Austria","Jordan"
"342","Austria","Kenya"
"343","Austria","Kuwait"
"344","Austria","Lebanon"
"345","Austria","Liberia"
"346","Austria","Libya"
"347","Austria","Malawi"
"348","Austria","Malaysia"
"349","Austria","Maldives"
"350","Austria","Mali"
"351","Austria","Malta"
"352","Austria","Mauritania"
"353","Austria","Mongolia"
"354","Austria","Morocco"
"355","Austria","Namibia"
"356","Austria","Netherlands"
"357","Austria","Netherlands Antilles (former)"
"358","Austria","New Zealand"
"359","Austria","Nigeria"
"360","Austria","Norway"
"361","Austria","Oman"
"362","Austria","Pakistan"
"363","Austria","Panama"
"364","Austria","Paraguay"
"365","Austria","Philippines"
"366","Austria","Poland"
"367","Austria","Portugal"
"368","Austria","Qatar"
"369","Austria","Republic of Korea"
"370","Austria","Réunion"
"371","Austria","Romania"
"372","Austria","Rwanda"
"373","Austria","Saudi Arabia"
"374","Austria","Senegal"
"375","Austria","Singapore"
"376","Austria","Somalia"
"377","Austria","South Africa"
"378","Austria","Spain"
"379","Austria","Sri Lanka"
"380","Austria","Sudan (former)"
"381","Austria","Sweden"
"382","Austria","Switzerland"
"383","Austria","Syrian Arab Republic"
"384","Austria","Thailand"
"385","Austria","Trinidad and Tobago"
"386","Austria","Tunisia"
"387","Austria","Turkey"
"388","Austria","United Arab Emirates"
"389","Austria","United Kingdom"
"390","Austria","United Republic of Tanzania"
"391","Austria","United States of America"
"392","Austria","USSR"
"393","Austria","Venezuela (Bolivarian Republic of)"
"394","Austria","Viet Nam"
"395","Austria","Yugoslav SFR"
"396","Bahamas","Antigua and Barbuda"
"397","Bahamas","Argentina"
"398","Bahamas","Aruba"
"399","Bahamas","Barbados"
"400","Bahamas","Belize"
"401","Bahamas","Bermuda"
"402","Bahamas","Canada"
"403","Bahamas","Cayman Islands"
"404","Bahamas","China, Hong Kong SAR"
"405","Bahamas","Costa Rica"
"406","Bahamas","Dominican Republic"
"407","Bahamas","Ecuador"
"408","Bahamas","France"
"409","Bahamas","Guyana"
"410","Bahamas","Haiti"
"411","Bahamas","India"
"412","Bahamas","Italy"
"413","Bahamas","Jamaica"
"414","Bahamas","Martinique"
"415","Bahamas","Netherlands"
"416","Bahamas","Netherlands Antilles (former)"
"417","Bahamas","Panama"
"418","Bahamas","Paraguay"
"419","Bahamas","Portugal"
"420","Bahamas","Republic of Korea"
"421","Bahamas","Spain"
"422","Bahamas","Switzerland"
"423","Bahamas","Trinidad and Tobago"
"424","Bahamas","Turks and Caicos Islands"
"425","Bahamas","United Kingdom"
"426","Bahamas","United States of America"
"427","Bangladesh","Afghanistan"
"428","Bangladesh","Australia"
"429","Bangladesh","Bahrain"
"430","Bangladesh","Belgium-Luxembourg"
"431","Bangladesh","Bulgaria"
"432","Bangladesh","Canada"
"433","Bangladesh","China, Hong Kong SAR"
"434","Bangladesh","China, mainland"
"435","Bangladesh","Colombia"
"436","Bangladesh","Czechoslovakia"
"437","Bangladesh","Egypt"
"438","Bangladesh","France"
"439","Bangladesh","India"
"440","Bangladesh","Iran (Islamic Republic of)"
"441","Bangladesh","Iraq"
"442","Bangladesh","Italy"
"443","Bangladesh","Japan"
"444","Bangladesh","Kenya"
"445","Bangladesh","Kuwait"
"446","Bangladesh","Malaysia"
"447","Bangladesh","Maldives"
"448","Bangladesh","Mexico"
"449","Bangladesh","Monaco"
"450","Bangladesh","Netherlands"
"451","Bangladesh","New Zealand"
"452","Bangladesh","Oman"
"453","Bangladesh","Pakistan"
"454","Bangladesh","Poland"
"455","Bangladesh","Portugal"
"456","Bangladesh","Qatar"
"457","Bangladesh","Saudi Arabia"
"458","Bangladesh","Singapore"
"459","Bangladesh","Spain"
"460","Bangladesh","Sri Lanka"
"461","Bangladesh","Sweden"
"462","Bangladesh","Thailand"
"463","Bangladesh","United Arab Emirates"
"464","Bangladesh","United Kingdom"
"465","Bangladesh","United States of America"
"466","Bangladesh","USSR"
"467","Barbados","Antigua and Barbuda"
"468","Barbados","Australia"
"469","Barbados","Bahamas"
"470","Barbados","Bermuda"
"471","Barbados","British Virgin Islands"
"472","Barbados","Canada"
"473","Barbados","Dominica"
"474","Barbados","France"
"475","Barbados","Grenada"
"476","Barbados","Guyana"
"477","Barbados","Italy"
"478","Barbados","Jamaica"
"479","Barbados","Japan"
"480","Barbados","Madagascar"
"481","Barbados","Martinique"
"482","Barbados","Montserrat"
"483","Barbados","Netherlands"
"484","Barbados","Netherlands Antilles (former)"
"485","Barbados","Saint Kitts and Nevis"
"486","Barbados","Saint Lucia"
"487","Barbados","Saint Vincent and the Grenadines"
"488","Barbados","Senegal"
"489","Barbados","Singapore"
"490","Barbados","Spain"
"491","Barbados","Suriname"
"492","Barbados","Trinidad and Tobago"
"493","Barbados","Turks and Caicos Islands"
"494","Barbados","United Kingdom"
"495","Barbados","United States of America"
